 1st    2nd   f1_avg 
 19.00  23.00  51.82 
 19.00  24.00  29.98 
 19.00  25.00  57.02 
 19.00  26.00  38.34 
 19.00  27.00  66.09 
 19.00  28.00  47.58 
 19.00  29.00  63.43 
 19.00  30.00  68.34 
 19.00  31.00  70.16 
 19.00  32.00  73.84 
 19.00  33.00  65.54 
 19.00  34.00  48.38 
 19.00  35.00  62.74 
 19.00  36.00  68.27 
 19.00  37.00  45.00 
 19.00  38.00  66.09 
 19.00  39.00  37.21 
 19.00  40.00  49.45 
 19.00  41.00  45.16 
 19.00  42.00  70.68 
 19.00  43.00  71.40 
 19.00  44.00  45.56 
 19.00  45.00  59.74 
 19.00  46.00  56.71 
 19.00  47.00  30.94 
 19.00  48.00  43.02 
 19.00  49.00  40.25 
 19.00  50.00  68.82 
 20.00   0.00  72.79 
 20.00   1.00   4.75 
 20.00   2.00  38.80 
 20.00   3.00  46.09 
 20.00   4.00  30.90 
 20.00   5.00  41.61 
 20.00   6.00  28.47 
 20.00   7.00  53.96 
 20.00   8.00  25.81 
 20.00   9.00  31.99 
 20.00  10.00  15.21 
 20.00  11.00  62.98 
 20.00  12.00  50.36 
 20.00  13.00  67.36 
 20.00  14.00  61.27 
 20.00  15.00  64.98 
 20.00  16.00  67.23 
 20.00  17.00  34.35 
 20.00  18.00  66.11 
 20.00  19.00  63.81 
 20.00  20.00  68.04 
 20.00  21.00  62.25 
 20.00  22.00  63.53 
 20.00  23.00  53.34 
 20.00  24.00  33.02 
 20.00  25.00  32.90 
